scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,scenario_group,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
random_drawdown_06,uspl,0.0,0.0,0.0,0.0,13,129.27965987137674,129.27965987137674,13,,0.0,0.0,0.24058977010804714,468.14689445233944,drawdown,0.0,True,True,0.4794316435317979,4.0,2.5,4.0,2.0,1.5,4.0,2.8,2,161.5995748392209,0.0
random_drawdown_07,fixed,0.0,0.0,0.0,0.0,2,95.67286161355347,133.94200625897486,3,3.0,3.0,0.0,0.2086634976029473,382.69144645421386,drawdown,3.0,True,False,0.6719722872079872,2.0,2.5,2.5,2.5,3.0,1.5,2.4,2,129.15836317829718,0.0
random_drawdown_07,twap,0.0,0.0,0.0,0.0,0,0.0,143.5092924203302,4,26.0,26.0,0.0,0.09235101604050712,191.34572322710693,drawdown,26.0,True,True,0.4859059988022975,4.0,2.5,1.0,4.0,4.0,3.0,2.9,2,35.87732310508255,0.0
random_drawdown_07,buffer,0.0,0.0,0.0,0.0,2,95.67286161355347,133.94200625897486,3,2.0,2.0,0.0,0.21941992592139778,382.69144645421386,drawdown,2.0,True,True,0.6785883149232481,1.0,2.5,2.5,2.5,1.5,1.5,2.1,3,129.15836317829718,0.0
random_drawdown_07,uspl,0.0,0.0,0.0,0.0,10,118.58111230408684,129.86112388038129,11,2.0,2.0,0.0,0.23857519836681,464.309094026086,drawdown,2.0,True,True,0.49797459100533775,3.0,2.5,4.0,1.0,1.5,4.0,2.6,3,151.04639327418215,0.0
random_drawdown_08,fixed,0.0,0.0,0.0,0.0,2,95.85264701488381,134.19370582083732,3,3.0,3.0,0.0,0.20717644319408618,383.4105880595352,drawdown,3.0,True,True,0.6856999473231136,2.0,2.5,2.5,2.0,3.0,1.5,2.3,2,129.40107347009314,0.0
random_drawdown_08,twap,0.0,0.0,0.0,0.0,0,0.0,143.77897052232572,4,26.0,26.0,0.0,0.0929520866560802,191.7052940297676,drawdown,26.0,True,True,0.48468083487070096,4.0,2.5,1.0,4.0,4.0,3.0,2.9,2,35.94474263058143,0.0
random_drawdown_08,buffer,0.0,0.0,0.0,0.0,2,95.85264701488381,134.19370582083735,3,-47.0,0.0,47.0,0.20782852493753087,383.4105880595352,drawdown,0.0,True,True,0.7070604271327323,1.0,2.5,2.5,3.0,1.5,1.5,2.2,3,129.40107347009314,0.0
random_drawdown_08,uspl,0.0,0.0,0.0,0.0,13,130.36957583398595,130.36957583398595,13,,0.0,0.0,0.23634458971750433,459.89318779656304,drawdown,0.0,True,True,0.5020621695443686,3.0,2.5,4.0,1.0,1.5,4.0,2.6,3,162.96196979248242,0.0
random_drawdown_09,fixed,0.5833333333333334,64.81329344964075,60.500153022473775,58.23090809867457,0,0.0,106.48064835433041,44,3.0,3.0,0.0,0.0,59.06243954675144,drawdown,3.0,False,True,0.5798254283710708,3.0,3.0,1.5,4.0,3.0,4.0,3.1,1,26.620162088582603,76.70347638488397
random_drawdown_09,twap,0.5833333333333334,273.17559432191916,256.9032106404585,248.16369780671198,0,0.0,96.85981619433608,42,5.0,5.0,0.0,0.0,251.47908274663826,drawdown,5.0,False,True,0.37937348700831397,4.0,4.0,1.5,2.0,4.0,3.0,2.9,1,24.21495404858402,325.1971092209383
random_drawdown_09,buffer,0.0,0.0,0.0,0.0,2,68.39610645729249,95.7545490402095,3,-7.0,0.0,7.0,0.2137759223759912,273.58442582916996,drawdown,0.0,True,True,0.6236170390544303,2.0,1.5,4.0,1.0,1.5,1.0,1.8,4,92.33474371734486,0.0
random_drawdown_09,uspl,0.0,0.0,0.0,0.0,5,36.971754316851545,105.84991365729684,11,-8.0,0.0,8.0,0.05389756992751873,71.67713348742302,drawdown,0.0,True,True,0.7466401687469498,1.0,1.5,3.0,3.0,1.5,2.0,2.2,2,63.434232731175754,0.0
random_drawdown_10,fixed,0.0,0.0,0.0,0.0,0,0.0,97.81266552623381,2,3.0,3.0,0.0,0.31395778413682474,652.0844368415587,drawdown,3.0,True,True,0.7139030642941476,1.0,2.5,1.5,3.0,3.0,2.0,2.4,3,24.453166381558454,0.0
random_drawdown_10,twap,0.0,0.0,0.0,0.0,0,0.0,97.81266552623381,2,6.0,6.0,0.0,0.31438914352438685,652.0844368415587,drawdown,6.0,True,False,0.5336408954250764,3.0,2.5,1.5,3.0,4.0,2.0,2.6,3,24.453166381558454,0.0
random_drawdown_10,buffer,0.0,0.0,0.0,0.0,2,97.81266552623381,97.81266552623381,2,,0.0,0.0,0.3694341153163567,652.0844368415587,drawdown,0.0,True,True,0.6146324702620467,2.0,2.5,4.0,3.0,1.5,2.0,2.6,3,122.26583190779226,0.0
random_drawdown_10,uspl,0.0,0.0,0.0,0.0,9,93.75398366963401,93.75398366963401,9,,0.0,0.0,0.3769616370497692,733.258073973555,drawdown,0.0,True,True,0.4716352043751491,4.0,2.5,3.0,1.0,1.5,4.0,2.4,3,117.19247958704251,0.0
random_oracle_shock_01,fixed,0.0,0.0,0.0,0.0,1,35.534853712921084,35.534853712921084,1,,0.0,0.0,0.6705107807979389,710.6970742584217,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,44.41856714115136,0.0
random_oracle_shock_01,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,oracle shock,0.0,True,True,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.6,5,0.0,0.0
random_oracle_shock_01,buffer,0.0,0.0,0.0,0.0,1,35.534853712921084,35.534853712921084,1,,0.0,0.0,0.6705107807979389,710.6970742584217,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,44.41856714115136,0.0
